chpt_game_concepts,1. Game Concepts,,
rule_host_transitivity-1-example,"If the Runner installs a {card:Leprechaun} hosted on a {card:Dhegdheer}, programs hosted on {card:Leprechaun} do not have their install costs reduced because they are hosted on {card:Leprechaun} and not on {card:Dhegdheer}.",,
rule_hosted_word_meaning,"1.13.9. If an ability on a card refers to a ""hosted"" card or counter, that ability only references objects hosted on that card.",,
rule_remove_spend_hosted_objects,1.13.10. Hosted objects can be removed or spent from their host without affecting the host.,,
rule_trash_hosted_objects_when_host_trashed,"1.13.11. If a host card changes zones, except by moving from a player's score area to another player's score area, all objects hosted on that card (and all objects hosted on those objects, and so on) are trashed during the next checkpoint. This cannot be prevented. See {ref:sec_checkpoints} for details on checkpoints.",,
rule_trash_hosted_objects_when_host_trashed-1-example,"The Runner has an installed copy of {card:Detente} with Corp cards hosted on it. They play {card:Rejig}, adding {card:Detente} to their grip. The hosted Corp cards are trashed.",,
rule_trash_hosted_objects_when_host_trashed-2-example,The Runner has {card:Next Big Thing} in their score area with a hosted agenda counter. The Corp plays {card:IP Enforcement} to install that agenda. The hosted agenda counter will be trashed after {ref:rule_steps_installing_pay_install_cost} of the installation.,,
rule_trash_hosted_objects_when_host_trashed-3-example,The Runner has {card:Next Big Thing} in their score area with a hosted agenda counter. The Corp plays {card:Exchange of Information} to swap that agenda to their own score area. The agenda counter remains hosted on {card:Next Big Thing}.,,
rule_condition_counters_can_host,1.13.12. Condition counters are the only type of counter that can host other objects. Hosting on condition counters follows the same rules as hosting on cards.,,
sec_ownership,1.14. Ownership and Control,,
rule_owner,"1.14.1. The {term:owner} of a card is the player who provided that card at the start of the game as their identity, part of their deck, or an extra card along with their deck.",,
rule_owner_converted_to_counter,1.14.1.a. A card that is converted into a counter retains its owner.,,
rule_owner_counters,1.14.1.b. No player owns counters that are not converted cards.,,
rule_controller_object,1.14.2. The {term:controller of an object} is the player responsible for that object.,,
rule_controller_card_play_area,1.14.2.a. The controller of a card in the play area is the player who installed or placed it there.,,
rule_controller_agenda,1.14.2.b. The Corp controls each agenda in the Corp's score area. The Runner controls each agenda in the Runner's score area.,,
rule_controller_default_owner,1.14.2.c. Cards in other zones are controlled by their owner.,,
rule_controller_credits,1.14.2.d. Each player controls the credits in their credit pool.,,
rule_controller_bad_publicity_tag,"1.14.2.e. The Corp controls each bad publicity counter. The Runner controls each tag counter. However, see {ref:rule_corp_can_pay_tag_costs} and {ref:rule_runner_can_pay_bad_publicity_costs} regarding paying costs that involve tags and bad publicity, respectively.",,
rule_controller_hosted_counter,1.14.2.f. The controller of a counter hosted on a card is the player who controls the host card.,,
rule_controller_click_core_damage,1.14.2.g. Click counters and core damage counters are gameplay aids only and have no controller.,,
rule_pay_costs_controlled_objects,1.14.3. A player can only pay costs using objects they control.,,
rule_controller_ability,"1.14.4. The {term:controller of an ability} is the player responsible for that ability. By default, this is the player who controls the ability's source. See also {ref:rule_source}. A player can only use abilities they control.",,
rule_controller_agenda_abilities,"1.14.4.a. Unless specifically stated otherwise, abilities on agendas are controlled by the Corp, even for agendas in the Runner's score area.",,
rule_ability_controller_specified,"1.14.4.b. Some abilities state that they can only be used by a specific player. The specified player controls each such ability, even if they do not control its source.",,
rule_controller_choices,"1.14.5. Unless otherwise noted, the controller of an ability carries out its effects and makes any choices required. If a player is specified to perform all or part of an effect, the specified player carries out that part of the effect and makes any choices required instead.",,
rule_controller_choices-1-example,"{card:Rototurret}'s first subroutine reads, ""Trash 1 installed program."" Since {card:Rototurret} is a Corp card, the Corp chooses which installed program to trash. Conversely, {card:Bulwark}'s first subroutine reads, ""The Runner trashes 1 installed program."" Since the Runner is specified to be carrying out this effect, they choose which of their installed programs to trash.",,
rule_trigger_condition_effect_by_player,1.14.5.a. Some trigger conditions care about effects performed by a particular player. These conditions are only met when that player is the one to carry out the relevant effect.,,
rule_trigger_condition_effect_by_player-1-example,"The Corp has a rezzed {card:Hostile Infrastructure}. Apocalypse does not specify who trashes the cards, so the Runner is responsible for the trashing and {card:Hostile Infrastructure} meets its trigger condition.",,
rule_trigger_condition_effect_by_player-2-example,"{card:Alice Merchant} states that ""the Corp must trash 1 card from HQ"", so the Corp carries out this effect even though {card:Alice Merchant} is a Runner card, and therefore {card:Hostile Infrastructure} does not meet its trigger condition.",,
sec_targets,1.15. Targets,,
rule_target,1.15.1. Many abilities require players to choose 1 or more objects or subroutines to affect. Each object and subroutine chosen for an ability is a {term:target} of that ability.,,
rule_target-1-example,"{card:Top Hat} reads in part, ""you may choose 1 of the top 5 cards of R&D and access it."" The target of this instruction is the card in R&D the Runner chooses.",,
rule_target-2-example,"One of the subroutines on {card:Colossus} reads in part, ""Trash 1 installed program and 1 installed resource."" The targets of this subroutine are the two cards that will be trashed.",,
rule_target-3-example,"{card:Trick of Light} reads, ""Choose 1 installed card you can advance. Move up to 2 advancement counters from 1 other card to the chosen card."" The targets of this operation are the advancement counters to be moved and the destination card. If 2 tokens are chosen, they must be hosted on the same card.",,
rule_target-4-example,The Runner is encountering a {subtype:barrier} and uses {card:Cleaver} to break subroutines. The targets of {card:Cleaver}'s' interface ability are the 1 or 2 subroutines that it will break.,,
rule_searching_does_not_target,1.15.1.a. Cards found during a search are not considered targets of the instruction that performs the search. Players do not need to announce what card(s) they expect to find before the search actually takes place. See {ref:sec_searching_cards} for rules about searching.,,
rule_object_subroutine_targets,"1.15.1.b. Only objects and subroutines are announced as targets. If an instruction directs a player to choose (or ""name"") a number, a card type, a subtype, a card name, a server, or one of a specified set of effects, that choice is not made until the instruction resolves.",,
rule_announce_targets,"1.15.2. Immediately before an instruction becomes imminent, the player resolving that instruction must first choose the targets required by that instruction. For each time the instruction requires a player to choose 1 or more objects and/or subroutines, that player {term:announces} appropriate targets. Once players are finished announcing targets for an instruction, the instruction becomes imminent, and players have the opportunity to modify the effects of that instruction with interrupt abilities before it resolves. See {ref:sec_interrupts_replacements}.",,
rule_target_indicate,"1.15.2.a. When a player announces a card as a target, they indicate clearly which card is being chosen without changing its facedown/faceup status or location.",,
rule_targets_must_be_valid,1.15.2.b. The player resolving the instruction can only choose targets that are valid for that instruction. A target is valid for an instruction if it meets any specified requirements of that instruction or can otherwise be acted upon by that instruction.,,
rule_targets_must_be_in_play_area,"1.15.2.c. Unless an instruction explicitly specifies the zone from which an object must be selected as a target, only counters in the play area and installed cards are valid targets for that instruction.",,
rule_targets_must_be_in_play_area-1-example,"The Corp resolves a subroutine that says ""[sub] The Runner trashes 1 program."" The Runner must trash 1 of their installed programs and may not trash a program from their grip or stack.",,
rule_multiple_targets,1.15.2.d. Some effects allow a player to choose multiple cards as targets for a single announcement. {ref:Subsec_quantities_and_sets} contains rules about resolving effects involving sets of cards.,,
rule_distinct_targets,"1.15.2.e. A player may announce the targets for an instruction in any order, but each object or subroutine can only be chosen as a target once for each announcement. If there are not enough valid targets available, then that player chooses as many distinct targets as possible and the remaining targets are not announced.",,
rule_distinct_targets-1-example,"The Runner accesses an {card:Aggressive Secretary} with three advancement counters on it. The Runner only has two installed programs, so the Corp chooses both of those programs for {card:Aggressive Secretary}. After the programs have been chosen, they are both trashed simultaneously.",,
rule_targeting_only_once,"1.15.2.f. Targets cannot be chosen for an instruction at any other time. Even if the game state changes due to interrupt abilities while the instruction is imminent, unannounced targets remain unchosen.",,
rule_targets_gone,"1.15.3. At the time an instruction resolves, if any of its targets either have become invalid or were not announced, as much of that ability resolves as possible without acting on the unannounced or invalid targets, following {ref:rule_if_able,rule_do_as_much_as_you_can} of the Golden Rules. A target can be invalid because the chosen object or subroutine no longer exists or because the target no longer meets other requirements specified by the targeting ability.",,
rule_target_beyond_move,"1.15.4. After the resolution of an instruction that chose a particular target, subsequent instructions of the same ability can continue to act on that target without needing to select it again, even if the ability moves the target or changes its properties. See also {ref:rule_no_memory}.",,
rule_target_beyond_move-1-example,"{card:Howler}'s ability targets a card in HQ. Its first instruction installs that card, and its second instruction creates a delayed conditional ability that refers to that card in the play area. The latter ability can find and act on the card as long as it is still installed. ",,
sec_costs,1.16. Costs,,
rule_cost,"1.16.1. In order to use an ability or apply an effect, a player may be required to pay a cost. A cost can take the form of any card, counter, or other item a player must spend; an effect a player must resolve; or other type of requirement a player must meet. If a player cannot pay the full cost of an action or ability all at once with cards and counters they control, they cannot use the effect associated with that cost.",,
rule_cost_no_interrupt,1.16.1.a. The act of paying a cost cannot be modified or cancelled by optional interrupt abilities.,,
rule_cost_no_interrupt-1-example,"The Runner can trash {card:Clone Chip} to trigger its paid ability, but cannot use {card:LLDS Energy Regulator} to prevent {card:Clone Chip} from being trashed this way.",,
rule_cost_interrupt_static_mandatory,"1.16.1.b. If a static ability or a mandatory conditional ability interrupt would prevent the steps of paying a cost from being carried out if they were performed as an effect, that cost cannot be paid.",,
rule_cost_interrupt_static_mandatory-1-example,"The Runner cannot pay the additional cost to steal {card:Obokata Protocol} while {card:Guru Davinder} is installed, because the Runner could not currently take 4 damage if instructed to: {card:Guru Davinder}'s first ability would prevent the damage.",,
rule_cost_interrupt_static_mandatory-2-example,"The Runner is playing as {card:Jesminder Sareen} and encounters {card:Funhouse}, without any other tag-related effects resolving earlier in the run. Since {card:Jesminder Sareen}'s ability would prevent taking 1 tag, the Runner cannot take 1 tag to pay the nested cost in {card:Funhouse}'s ability. {card:Funhouse} will end the run.",,
rule_cost_restrictions,"1.16.1.c. If triggering an ability or resolving an effect is subject to both costs and other restrictions, the cost cannot be paid unless all such restrictions are met, and cannot be paid in a way that would result in any restriction no longer being met.",,
rule_cost_restrictions-1-example,"The Runner controls {card:Zer0} and {card:Clan Vengeance}, and wants to accumulate more power counters on {card:Clan Vengeance}. {card:Zer0}'s ability has the restriction ""Use this ability only once per turn."" If the Runner has already used the ability this turn, they cannot suffer additional net damage by attempting (even unsuccessfully) to use the ability again.",,
rule_cost_restrictions-2-example,"The Corp installs {card:Azef Protocol} in the root of a server with a rezzed {card:SanSan City Grid} and advances {card:Azef Protocol} twice. Since {card:SanSan City Grid} reduces {card:Azef Protocol}'s advancement requirement to 2, the Corp now meets the restriction necessary to score {card:Azef Protocol}, but must also pay its additional cost to score. The Corp cannot trash the {card:SanSan City Grid} to pay this cost, because paying the cost this way would return {card:Azef Protocol}'s advancement requirement to 3, and the restriction to score it would no longer be met.",,
rule_cost_zero,"1.16.1.d. A cost of 0 can still be paid by a player, even though no items are paid. Costs of 0 are not paid automatically. A player pays a cost of 0 by explicitly announcing they are paying it.",,
rule_cost_zero-1-example,"The Runner accesses a {card:Beanstalk Royalties} from R&D and announces that they are using the ability of {card:Freedom Khumalo: Crypto-Anarchist} to trash the {card:Beanstalk Royalties}. Even though the Runner does not remove any virus counters from any cards, they have still paid the cost.",,
rule_modified_costs,"1.16.2. The actual contents of a cost can be dependent on the game state. Abilities can modify their own costs, modify costs of a certain type or that meet certain criteria, or include costs that need to be calculated.",,
rule_cost_calculation,"1.16.2.a. If a quantity in a cost is subject to effects modifying its value, determine the final value of that quantity by taking its default value, applying each effect that increases the cost, and then applying each effect that lowers the cost. Finally, if the value determined by this process is less than 0, set the value to 0.",,
rule_cost_quantities,"1.16.2.b. Some abilities calculate a quantity using phrases like ""for each"", ""for every"", or ""plus"". Any time such a calculation appears in a cost, the result of that calculation is determined at the time the cost is to be paid. The result is taken as an aggregate, so that paying the cost is a single instance of whatever was paid. Note that additional costs ({ref:rule_nested_cost}) are not aggregated with other costs. See also {ref:Subsec_quantities_and_sets} for rules about calculated quantities that appear in other contexts.",,
rule_cost_quantities-1-example,"The Runner approaches a server protected by 3 advanced pieces of ice and with a rezzed {card:Cayambe Grid} in its root. They pay the nested cost in {card:Cayambe Grid}'s ability. This cost is 1 payment of 6[c], not 3 payments of 2[c], so this only meets the trigger condition for 1 instance of {card:GameNET}'s ability.",,
rule_cost_x,"1.16.2.c. Some costs contain the variable X. Before a player pays such a cost, they choose and announce a positive integer or 0 to be the value for X. The chosen value must follow any applicable restrictions.",,
rule_cost_x-1-example,"{card:Psychographics} is an operation with a play cost of X. It also has the ability, ""X must be equal to or less than the number of tags the Runner has."" If the Runner has 3 tags, the Corp can choose 0, 1, 2, or 3 as the value for X when they play {card:Psychographics}.",,
rule_cost_x_out_of_context,"1.16.2.d. If an ability needs to know the value of a cost in a context where that cost is not being paid, treat any X that appears in that cost as 0.",,
rule_alternate_payment,"1.16.2.e. Some abilities modify a cost by allowing a player to pay part or all of that cost in an alternate way. This does not change the value of the cost, but gives the player an additional option when deciding how to pay that cost.",,
rule_alternate_payment-1-example,"The Corp rezzes {card:Biawak}, which has the ability ""You can forfeit 1 agenda as you rez this ice to pay for 10[c] of its rez cost."" and a rez cost of 14[c]. The Corp chooses to pay {card:Biawak}'s rez cost by spending 2[c] from their credit pool, spending 2[c] from a {card:Mahkota Langit Grid}, and forfeiting 1 agenda.",,
rule_install_and_rez_reducing_total,"1.16.2.f. An ability that instructs the Corp to install and rez a card can also reduce the ""total"" cost to do so. This use of ""total"" indicates that the Corp can divide the modifier between the install cost and the rez cost of the relevant card. When such a modifier applies, the Corp declares a number of credits by which to reduce the install cost and a number of credits by which to reduce the rez cost. This declaration is made at the beginning of {ref:rule_steps_installing_pay_install_cost}, before calculating the value of the install cost, and the numbers declared this way must be nonnegative numbers whose sum is equal to the number of credits specified by the original ""total"" modifier. The respective costs are then lowered by the declared amounts, following the normal procedure described in {ref:rule_cost_calculation}.",,
rule_install_and_rez_reducing_total-1-example,"The Corp uses the ability on {card:Tucana} to install and rez a copy of {card:Logjam} from R&D, paying a total of 3[c] less. They install the {card:Logjam} protecting a server that already has 1 piece of ice protecting it, meaning that without the ""total of 3[c] less"" modifier, the install cost would be 1[c] and the rez cost would be 6[c]. The Corp applies 1[c] of the discount to the install cost and 2[c] to the rez cost, leaving a final install cost of 0[c] and a final rez cost of 4[c].",,
rule_cost_checkpoint,"1.16.3. After a player pays a cost, a checkpoint occurs. See {ref:sec_checkpoints}.",,
rule_cost_checkpoint_cost_zero,1.16.3.a. This checkpoint occurs even if the cost being paid is 0.,,
rule_types_of_costs,"1.16.4. There are six main types of costs: install costs (found mainly on hardware, programs, and resources, and incurred when installing ice), play costs (found on operations and events), rez costs (found on assets, upgrades, and ice), paid ability trigger costs, additional costs, and nested costs.",,
rule_inherent_cost,"1.16.4.a. Install costs, rez costs, and play costs are all costs that are inherent properties of cards. These costs are automatically applied to any ability that performs the corresponding effects (installing, rezzing, or playing) unless that ability stipulates otherwise. See also {ref:sec_printed_cost} (for more about these costs as they appear on cards) and {ref:sec_install_cost}, {ref:rule_inherent_rez_cost} and {ref:rule_playing_play_cost} (for more about paying costs to install, rez, and play cards).",,
rule_inherent_cost_in_ability,"1.16.4.b. The presence of an install cost, rez cost, or play cost does not change the optional or mandatory status of an ability. If an effect directs a player to install, rez, or play a card, they must pay the associated cost if able. If they cannot, the card is not installed, rezzed, or played.",,
rule_inherent_and_additional_cost,"1.16.4.c. If an effect directs a player to install, rez, or play a card, but doing so has an additional cost, the player is not forced to pay the additional cost. If they decline to do so, they do not pay the install, rez, or play cost either, and the card is not installed, rezzed, or played.",,
rule_inherent_cost_aggregates,"1.16.4.d. When a player takes an action that plays or installs one or more cards and has no other effects, the play cost or install cost of each of those cards is considered to have been spent to take that action, even though other steps take place between initiating the action and paying that cost.",,
rule_inherent_cost_aggregates-1-example,"The Corp has {card:Jeeves Model Bioroids} rezzed, and uses the basic action ""[Click]: Play an operation."" to play {card:Blue Level Clearance}. Both the click spent for the cost of the basic action and the click spent for {card:Blue Level Clearance}'s additional cost count as clicks spent to take the ""[Click]: Play an operation."" action.",,
rule_ignoring_costs,1.16.5. Some abilities direct a player to ignore certain costs when performing particular effects.,,
rule_ignore_general_cost,"1.16.5.a. If a player is directed to ignore 1 or more of the 6 main types of costs, the specified costs are removed from the total cost that must be paid. Any other costs (usually additional costs) that are not specified to be ignored still apply normally.",,
rule_ignore_credit_cost,"1.16.5.b. If a player is directed to ignore ""credit costs"", any credits to be paid from any type of cost are removed from the total cost. Any costs that do not consist of credits still apply normally.",,
rule_ignore_all_costs,"1.16.5.c. If a player is directed to ignore ""all costs"", all elements of the relevant cost are removed, including additional costs, so that the total cost becomes 0.",,
rule_install_cost,1.16.6. The {term:install cost} of a card must be paid to install that card.,,
rule_install_cost_on_card,"1.16.6.a. The install cost of a program, resource, or piece of hardware is listed on the card itself.",,
rule_install_cost_ice,1.16.6.b. The install cost of a piece of ice is a number of credits equal to the number of pieces of ice already protecting the server that ice will be installed protecting.,,
rule_no_install_cost,"1.16.6.c. There is no cost to install an asset, upgrade, or agenda.",,
rule_play_cost,1.16.7. The {term:play cost} of an operation or event must be paid to play that card. It is listed on the card itself.,,
rule_rez_cost,"1.16.8. The {term:rez cost} of an asset, upgrade, or piece of ice must be paid in order to rez that card. It is listed on the card itself.",,
rule_trigger_cost,1.16.9. The {term:trigger cost} of each paid ability is the first part of that ability's text. It is followed by a colon (:) and then the ability's effect. See {ref:sec_paid_abilities} for more details on paid abilities.,,
rule_additional_cost,1.16.10. An {term:additional cost} adds something to the regular cost of initiating a particular game effect. A player must pay all additional costs along with any regular costs in order to initiate an effect.,,
rule_decline_additional_cost,"1.16.10.a. If a player would be forced to carry out a game effect, but doing so has an additional cost, that player may decline to pay the additional cost, even if they are able to pay it, thus preventing that effect from occurring.",,
rule_decline_additional_cost-1-example,"The Runner accesses {card:Obokata Protocol}. Normally the Runner must steal agendas that they access, but because {card:Obokata Protocol} has an additional cost to steal, the Runner can decline to suffer the net damage and not steal the agenda.",,
rule_additonal_cost_simultaenous,"1.16.10.b. A player must pay all additional costs simultaneously with the cost that is being added to, even if multiple cards or abilities are adding separate additional costs. A player cannot pay the original cost or any of the additional costs individually. If they cannot pay for all of the costs at once, then they do not pay any of the costs and the corresponding effects cannot occur.",,
rule_additonal_cost_simultaenous-1-example,"The Runner accesses {card:Obokata Protocol} while {card:Ben Musashi} and {card:Predictive Algorithm} are both active. The Runner must be able to pay 2 credits and suffer 6 net damage all at once in order to steal the {card:Obokata Protocol}, even though each of the three costs are from different card abilities. After all costs have been paid, abilities that meet their trigger conditions from the paying of any of those costs, such as {card:I've Had Worse} or {card:Order of Sol}, can then resolve as applicable.",,
rule_additional_cost_checkpoint,"1.16.10.c. If an additional cost is required for an effect that does not normally require paying any cost, the additional cost is paid and a checkpoint is resolved before performing the usual procedure to carry out that effect. See also {ref:rule_checkpoint_after_paying_cost}.",,
rule_additional_cost_checkpoint-1-example,"The Corp is playing {card:Ob Superheavy Logistics} and initiates scoring {card:Azef Protocol}, which has an additional cost to score of ""trash one of your other installed cards."" If the Corp trashes a rezzed card, meeting the trigger condition for {card:Ob Superheavy Logistics}'s ability, this ability will resolve following the checkpoint associated with paying the cost. This happens before {card:Azef Protocol} is added to the Corp's score area or any trigger conditions related to scoring an agenda are met.",,
rule_nested_cost,1.16.11. A {term:nested cost} is a cost appearing within an ability's instructions that must be paid while the ability is resolving in order for some or all of the rest of the effects of that ability to resolve.,,
rule_nested_cost_may,"1.16.11.a. Nested costs are usually written in the format ""[player] may [cost] to [instructions]"" or ""[player] may [cost]. If [you/they] do, [instructions]."" If the indicated player pays the indicated cost, the indicated instructions are resolved. Otherwise, that part of the ability is not resolved.",,
rule_nested_cost_unless,"1.16.11.b. Nested costs can also be written in the format ""[instructions] unless [player] [cost]"" or ""[player] may [cost]. If [you/they] do not, [instructions]."" If the indicated player pays the indicated cost, the indicated instructions are not resolved. Otherwise, that instruction is resolved.",,
rule_nested_cost_unless-1-example,"A subroutine reading ""End the run unless the Runner pays 1[c]."" contains a nested cost. If the Runner chooses to pay 1[c], the subroutine will not end the run.",,
rule_nested_cost_no_may,"1.16.11.c. An ability that reads ""If [you/they] do"" or ""If [you/they] do not"" without a preceding ""may"" does not indicate a nested cost.",,
rule_nested_cost_otherwise,"1.16.11.d. Some abilities use the word ""otherwise"" to indicate that different instructions should be resolved depending on whether a nested cost was paid or not. In an ability with a nested cost of a form described in {ref:rule_nested_cost_may}, treat ""otherwise"" as an ""if [you/they] do not"" clause attached to the same cost. Conversely, in an ability with a nested cost of a form described in {ref:rule_nested_cost_unless}, treat ""otherwise"" as an ""if [you/they] do"" clause attached to the same cost. Note that ""otherwise"" can also appear in the context of other types of conditions, and does not by itself indicate a nested cost.",,
sec_score_scoring_steal,"1.17. Score, Scoring and Stealing",,
rule_score,1.17.1. The sum of all agenda points on agendas in a player's score area is that player's {term:score}.,,
rule_threat_level,"1.17.1.a. The {term:threat level} is equal to the greatest score of any player. The ""Threat N"" ability flag makes use of the threat level ({ref:rule_threat_flag}).",,
rule_threat_level-1-example,"If the Runner's score is 4 agenda points, and the Corp's score is 3 agenda points, the threat level is 4.",,
rule_game_win,"1.17.2. If at any time a player's score is greater than or equal to 7, they win the game at the next checkpoint. See {ref:sec_ending_the_game} regarding winning the game, and {ref:sec_checkpoints} for details about checkpoints.",,
rule_score_steal,1.17.3. Players add agendas to their score areas by {term:scoring} or {term:stealing} them. The Corp can score an agenda to their score area as an option during certain paid ability windows on their turn. The Runner can steal an agenda to their score area while accessing it.,,
rule_advancement_requirement,1.17.3.a. The {term:advancement requirement} of an agenda restricts when the Corp can score it. The Corp can only score an agenda that has advancement counters on it greater than or equal to its advancement requirement. See {ref:sec_advancing_cards}.,,
rule_not_required_to_score,1.17.3.b. The Corp is not required to score an agenda immediately upon satisfying its advancement requirement.,,
rule_score_not_an_action,1.17.3.c. Scoring an agenda does not cost [click] and is not an action.,,
rule_decline_to_steal,"1.17.3.d. The Runner cannot decline to steal an agenda they access, unless there is an additional cost to steal that agenda and the Runner cannot or does not wish to pay it. {ref:Chpt_access_breach} details accessing, and {ref:rule_additional_cost} details additional costs.",,
rule_add_agenda_to_score_area,"1.17.3.e. If an effect directly adds an agenda to a score area or otherwise moves an agenda from any zone to a score area, that agenda is not considered scored or stolen.",,
rule_added_agendas_not_scored_or_stolen,"1.17.3.f. If an effect causes another card to be added to a score area ""as an agenda"", the newly converted agenda is not considered scored or stolen. See {ref:rule_add_card_to_score_area}.",,
rule_score_area_faceup,"1.17.4. Agendas are always added to the score area faceup, regardless of their previous faceup/facedown status.",,
rule_score_area_uninstalled,"1.17.5. If an installed agenda is scored or stolen, it becomes uninstalled. Any advancement counters on the scored or stolen agenda are returned to the bank. See {ref:rule_trash_hosted_objects_when_host_trashed}.",,
rule_agenda_scored,1.17.6. Some agendas and other cards have abilities with a trigger condition related to an agenda being scored. These abilities become pending after the Corp moves the agenda from its current zone to their score area.,,
rule_agenda_stolen,1.17.7. Some agendas and other cards have abilities with a trigger condition related to an agenda being stolen. These abilities become pending after the Runner moves the agenda from its current zone to their score area.,,
rule_advancement_counters_reference,"1.17.8. If an ability meets its trigger condition from an agenda being scored or stolen, the agenda's last known number of advancement counters before being scored or stolen is used for any references to the number of advancement counters in the effects of that ability.",,
sec_advancing_cards,1.18. Advancing Cards,,
rule_advance,"1.18.1. To {term:advance} a card is to place an advancement counter from the bank on it. The Corp typically advances cards with a basic action during their action phase, but card abilities can also advance cards.",,
rule_placing_advancement_counter,"1.18.2. Resolving an instruction that directly places an advancement counter onto a card is not the same as advancing a card. Likewise, resolving an instruction that moves an advancement counter from one card to another is not the same as advancing a card.",,
rule_placing_advancement_counter-1-example,"The Corp plays {card:Mushin No Shin}, choosing to install an {card:Oaktown Renovation}. Because the three advancement counters were placed on the card directly, the Corp does not gain any credits from the ability on {card:Oaktown Renovation}.",,
rule_you_can_advance,"1.18.3. The Corp can only advance certain installed cards. Agendas can always be advanced. If a card other than an agenda says that it ""can be advanced"" or that ""you can advance"" that card, the card can be advanced even while it is unrezzed. There is no limit to the number of times a card can be advanced.",,
rule_advanced_card,"1.18.4. An ""advanced card"" is a card with 1 or more advancement counters hosted on it.",,
sec_trashing,1.19. Trashing,,
rule_trashing,1.19.1. {term:Trashing} is the act of moving an object to its owner's discard pile.,,
rule_access_trash,"1.19.2. During access, the Runner has the opportunity to pay the trash cost of the accessed card to trash it. See {ref:rule_basic_trash_ability}.",,
rule_trashed_vs_discarded,"1.19.3. A trashed card is not considered to have been discarded, and vice versa. Cards that prevent a card from being trashed cannot prevent a card from being discarded.",,
rule_trash_symbol,1.19.4. The symbol [trash] represents trashing the object it appears on. It is used as a cost for certain abilities.,,
rule_trash_symbol-1-example,"{card:Fall Guy}'s last ability reads ""[trash]: Gain 2[c]."" The cost to trigger this ability is to trash {card:Fall Guy}.",,
rule_trash_ability,"1.19.4.a. ""A [trash] ability"" refers to a paid ability that includes [trash] in its trigger cost.",,
rule_use_trash_ability,"1.19.4.b. Some paid abilities have multiple options for their trigger cost, separated by ""or"". A player triggering such an ability only ""used a [trash] ability"" if the actual cost that was paid includes [trash].",,
sec_memory,1.20. Memory,,
rule_memory_unit,1.20.1. A {term:memory unit} ([MU]) is a space available to the Runner to install programs.,,
rule_memory_limit,"1.20.2. The Runner's {term:memory limit} is the total amount of [MU] the Runner has. If the Runner's identity card does not specify a starting memory limit, their starting memory limit is 4[MU]. An ability of the form ""+N[MU]"" increases the Runner's memory limit by N[MU].",,
rule_memory_limit-1-example,"The Runner is playing an identity with a starting memory limit of 4[MU]. They have an installed copy of {card:T400 Memory Diamond}, which has the ability ""+1[MU]"". The Runner can therefore have up to 5[MU] worth of programs installed.",,
rule_memory_cost,1.20.3. Programs have a {term:memory cost} that is continually applied against the memory limit. {ref:Rule_program_memory_cost} details how the Runner's installed programs are constrained by the memory limit.,,
rule_memory_restricted_mu,1.20.4. Some abilities give the Runner [MU] that can only be used for programs that meet a given requirement.,,
rule_memory_counting_mu_ignores_restrictions,"1.20.4.a. If a calculated value refers directly to the Runner's memory limit or to their unused [MU], that calculation ignores requirements about how that [MU] can be filled.",,
rule_memory_check_mu_restrictions,"1.20.4.b. To determine if the Runner's installed programs satisfy the restrictions on their [MU], create a mapping that assigns each 1[MU] in the memory cost of each installed program to a specific source (either the Runner's starting memory limit or an ability providing additional [MU]). The total [MU] assigned to each source must not exceed the amount of [MU] it provides, and all programs with [MU] assigned to a given source must meet all restrictions imposed on that [MU]. If it is not possible to create such a mapping, the Runner is considered to have exceeded their memory limit, and they must trash installed programs as described in {ref:rule_program_memory_cost}.",,
sec_card_visibility,1.21. Card Visibility,,
rule_faceup_facedown,1.21.1. Cards in the play area and other public zones are either {term:faceup} or {term:facedown}. Faceup cards are freely visible to all players. Facedown cards are oriented so that the face containing the card's information is not visible.,,
rule_hidden_secret_faceup_facedown,1.21.1.a. Cards in hidden or secret zones (see {ref:sec_game_zones_general}) are neither faceup nor facedown.,,
rule_hosted_cards_treated_as_group,"1.21.1.b. Some effects host multiple cards on an object at the same time or set aside multiple cards at the same time. Facedown cards that enter a zone at the same time by the same effect are treated as a group. See {ref:rule_host_faceup_facedown} and {ref:rule_facedown_set_aside_distinct_groups}, respectively.",,
rule_look,"1.21.2. When a player {term:looks} at a card, they are allowed to see the front face of the card even if the front face would not normally be visible to them. A player should look at that card without showing it to the other player if it is not normally visible to that player.",,
rule_look_at_controlled_facedown,1.21.2.a. A player may look at facedown cards they control at any time.,,
rule_reveal,"1.21.3. To {term:reveal} a card is to show its front face to all players, then return it to its previous state.",,
rule_expose,"1.21.4. Some abilities instruct the Runner to {term:expose} one or more cards. To expose a card is to reveal it, except that only installed, unrezzed cards can be exposed.",,
rule_look_reveal_expose_access_distinct,"1.21.5. Effects that instruct a player to look at, reveal, expose, or access a card are not the same, even if they would be performed similarly at times. See {ref:chpt_access_breach} for more information on accessing.",,
rule_remain_visible,"1.21.6. If a resolving ability directs one or both players to look at or reveal a card or set of cards, each such card remains visible to the relevant player(s) until the entire ability is finished resolving or the card moves to a different location. {n}See also {ref:rule_visibility_after_access}.{/n}",,
